id,track,title,construct,tools,repo_input,novel_output,generalization,novelty,compute
A01,A. Generative small-molecule construction,De novo TEAD4 pocket ligands,"Generate novel scaffolds into the palmitate pocket, score by docking",generative-chem+diffdock+vina,"8CAA pocket [15.95,-2.99,-45.69], validated setup",Novel-scaffold binder set ranked by predicted affinity + LE,Any target with a PDB/AlphaFold pocket,high,GPU+CPU
A02,A. Generative small-molecule construction,Fragment growing from crystal warhead,"Grow the acrylamide/purine core outward, dock each elaboration",generative-chem+vina,CHEMBL5400400 core; U3F crystal contacts,Elaborated analog series with contact-guided vectors,Any co-crystal or docked lead,high,CPU
A03,A. Generative small-molecule construction,Fragment linking (bitopic),Link palmitate-pocket + interface fragments into one bitopic ligand,generative-chem+diffdock,U3F + U3O dual occupancy in 8CAA,Bitopic ligand spanning two subpockets,Any multi-subpocket target,high,GPU
A04,A. Generative small-molecule construction,Scaffold hopping,"Bioisosteric replacement of the purine core, preserve pharmacophore",chemistry+generative-chem+vina,top-4 lead SMILES,IP-distinct scaffolds with matched 3D pharmacophore,Any lead chemotype,med,CPU
A05,A. Generative small-molecule construction,TEAD paralog-selectivity series,Design analogs exploiting TEAD1/2/3/4 pocket differences,structures+generative-chem+vina,TEAD4 8CAA + AlphaFold TEAD1/2/3,Paralog-selective candidate set + selectivity index,Any target with paralogs,high,GPU+CPU
A06,A. Generative small-molecule construction,Covalent warhead optimization,"Vary the acrylamide electrophile, model covalent geometry to Cys",generative-chem+chemistry,acrylamide warhead in leads; pocket Cys,Tuned covalent series ranked by warhead reactivity,Any target with pocket nucleophile,high,CPU
A07,A. Generative small-molecule construction,ADMET-guided analog optimization,Filter/redesign the series against measured ADMET liabilities,chembl+generative-chem,lead series; ChEMBL get_admet,ADMET-clean analog shortlist (PAINS/tox flags removed),Every drug candidate in every pack,med,connector
A08,A. Generative small-molecule construction,Purchasable near-neighbor retrieval,Pull ZINC22 analogs of each lead for fast experimental follow-up,zinc+chemistry,lead SMILES,Vendor-ready orderable set with supplier codes,Any lead needing quick wet-lab test,med,connector
A09,A. Generative small-molecule construction,Natural-product mimetics,Find NP/metabolite mimics of the lead pharmacophore,chemistry,lead pharmacophore; ChEBI/PubChem,NP-inspired starting points w/ known safety,Any target,med,connector
A10,A. Generative small-molecule construction,Polypharmacology dual ligands (TEAD4+RORC),Design one molecule hitting two prioritized nodes,generative-chem+vina,"TEAD4 + RORC pockets, both prioritized",Dual-target candidate — inflammation + differentiation,Any pack with 2 co-druggable nodes,high,CPU
